,close,date,high,low,open,quoteVolume,volume,weightedAverage
3618,464.99999993,1450418400,465,459.73999999,459.73999999,0.56585267,261.70032443,462.48845028
3619,453.06385632,1450425600,465,453.06385632,464.9998,2.2964537,1052.82341719,458.45619147
3620,454.8106865,1450432800,454.81068651,454.8106865,454.81068651,2.83086932,1287.50961883,454.8106865
3621,454.8106865,1450440000,454.8106865,454.8106865,454.8106865,0,0,454.8106865
3622,459.9998,1450447200,461.99999989,457.98999999,457.98999999,1.366745,628.1675082,459.60841869
3623,459.00001616,1450454400,459.00001616,459.00001613,459.00001613,0.16629752,76.33056436,459.00001614
3624,456.800001,1450461600,459.00001616,456.00001613,459.00001616,0.18996036,86.96188798,457.78965666
3625,459.99999993,1450468800,461,459.22267617,460.99999,0.7186927,331.2575985,460.91688214
3626,460,1450476000,460,457.250001,457.250001,0.66582,306.26344998,459.97934874
3627,460,1450483200,460,458.000001,458.000001,3.38557101,1557.35158043,459.99672605
3628,460,1450490400,460,459.99999,459.99999993,0.13919891,64.03149858,459.99999988
3629,461.500301,1450497600,461.500301,459.7998,459.7998,0.66297098,305.54246991,460.86854346
3630,460.000001,1450504800,461.500301,459.000001,461.50030099,0.77880168,359.26173248,461.30066448
3631,465.99999994,1450512000,465.99999999,460.000001,460.000001,3.02237422,1403.48493986,464.36504473
3632,460.11112001,1450519200,460.11112001,460.11112001,460.11112001,0.39694111,182.6370187,460.11112001
3633,462,1450526400,465.99999989,462,465.99999,0.01009094,4.69252018,465.02309859
3634,466.929,1450533600,466.929,461.99999993,462,2.66806215,1237.06977768,463.65853122
3635,456.19999999,1450540800,460.00001314,452.130001,460.00001314,10.53976548,4799.96569853,455.41484842
3636,459.99999993,1450548000,465.53586402,455.99999993,455.99999993,2.22415868,1016.69412326,457.11402356
3637,457.500001,1450555200,459.89998,453.18078606,453.18078606,0.58197916,266.19474376,457.39566304
3638,460,1450562400,460,459.50000091,459.89979,0.68817437,316.51124926,459.92885388
3639,457.000001,1450569600,460,456.81643452,456.81643452,0.34247312,157.31612323,459.35319896
3640,456.000001,1450576800,459.49999993,456.000001,457.000001,0.55745904,254.76317118,457.00787484
3641,456.000001,1450584000,456.000001,456.000001,456.000001,0,0,456.000001
3642,456.000001,1450591200,456.000001,456.000001,456.000001,0,0,456.000001
3643,457.000001,1450598400,459.49999993,457.000001,459.49999992,0.03659462,16.80264539,459.15616538
3644,457.000001,1450605600,457.000001,457.000001,457.000001,0,0,457.000001
3645,455.09999,1450612800,457,455.09999,457,0.30969466,141.53020824,456.99918832
3646,453.32999999,1450620000,459.99999999,453,453.09999,3.81562586,1737.07506407,455.25298543
3647,434.99999993,1450627200,456.03,431.20000001,453.32999999,12.3490492,5478.52750713,443.63962102
3648,441,1450634400,444.24999995,431.01,434.99999993,3.97157135,1732.7055206,436.27707219
3649,438.10000001,1450641600,443.04853993,438.10000001,443.04853993,3.44172348,1517.43168827,440.89297036
3650,438.10101011,1450648800,438.10101011,438.10101011,438.10101011,0.01392798,6.1018621,438.10101011
3651,427.99999993,1450656000,443.0999999,426,443.09925,4.63138175,1998.47602021,431.50751289
3652,435.44794222,1450663200,436.21697776,432.5,432.5,1.8728437,816.04966019,435.72758377
3653,432.81323269,1450670400,435.44794221,430.64051274,434.99999993,0.42751827,186.11293411,435.33328789
3654,431.2077155,1450677600,437.67999207,430.6404542,437.67999207,2.61154025,1126.27728505,431.26935725
3655,437.99999994,1450684800,441.92669453,431.2077155,431.2077155,2.46718996,1087.91515968,440.95313993
3656,442.99999996,1450692000,443,434.99999993,436,5.31234452,2330.79288874,438.75032576
3657,437.10599606,1450699200,439.83131689,437.10599606,439.83131689,1.50583967,660.76730742,438.80322758
3658,439.83131689,1450706400,439.83131689,436.26918134,439.83131688,0.98741021,434.11715328,439.65228319
3659,439.29401996,1450713600,439.29401996,431.96953737,431.96953737,0.01161233,5.08941764,438.27704205
3660,439.29401996,1450720800,439.29401996,439.29401996,439.29401996,0,0,439.29401996
3661,432.9999999,1450728000,436.9,431,434.49999993,1.44911832,627.63685929,433.11636505
3662,439.7999,1450735200,439.7999,431,433.99999993,5.32057147,2310.26121936,434.2129849
3663,439.83131689,1450742400,439.83131689,432.2589971,432.2589971,3.10553437,1358.75613672,437.52732214
3664,439.83129997,1450749600,439.83129997,439.83129997,439.83129997,0.00045655,0.20080498,439.83129997
3665,436.9,1450756800,439.83129996,436.9,439.83129996,0.020941,9.14975359,436.93011787
3666,436.9,1450764000,436.9,436.9,436.9,0,0,436.9
3667,436.9,1450771200,439.83131689,435.00058669,436.90000001,3.74649416,1639.99547811,437.74136781
3668,436.89999997,1450778400,436.9,435.00058669,435.00058669,0.60965222,266.34944877,436.88752379
3669,435.00058671,1450785600,436.9,435.00058671,436.89999997,3.49281176,1524.70671395,436.52702141
3670,435.00000005,1450792800,437.20424904,435.00000005,435.5,0.67203426,292.51553756,435.26878758
3671,433.99999993,1450800000,435.00000005,433.20845665,435.00000004,1.71750778,746.20265316,434.46828122
